Full key,en,pl,hu,fr,Namespace,Group,Key,Source file
*::*.Error while trying to delete category: ,Error while trying to delete category: ,,Hiba történt a kategória törlése közben:,Erreur lors de la tentative de suppression de la catégorie:,*,*,Error while trying to delete category: ,{locale}.json
*::*.Error while trying to delete email,Error while trying to delete email,,Hiba történt az e-mail törlése közben,Erreur lors de la tentative de suppression de l'e-mail,*,*,Error while trying to delete email,{locale}.json
*::*.Error while trying to delete investment,Error while trying to delete investment,,Hiba történt a befektetés törlése közben,Erreur lors de la tentative de suppression de l'investissement,*,*,Error while trying to delete investment,{locale}.json
*::*.Error while trying to delete investment group: ,Error while trying to delete investment group: ,,Hiba a befektetési csoport törlése közben:,Erreur lors de la tentative de suppression du groupe d'investissement:,*,*,Error while trying to delete investment group: ,{locale}.json
*::*.Error while trying to delete payee,Error while trying to delete payee,,Hiba történt a kedvezményezett törlése közben,Erreur lors de la tentative de suppression du bénéficiaire,*,*,Error while trying to delete payee,{locale}.json
*::*.Estimated end value,Estimated end value,,Becsült végérték,valeur finale estimée,*,*,Estimated end value,{locale}.json
*::*.Exchange rate,Exchange rate,,Árfolyam,Taux de change,*,*,Exchange rate,{locale}.json
*::*.Excluded categories for payee,Excluded categories for payee,,Kizárt kategóriák a kedvezményezett számára,Catégories exclues pour le bénéficiaire,*,*,Excluded categories for payee,{locale}.json
*::*.Expand all items,Expand all items,,Az összes elem kibontása,Développer tous les éléments,*,*,Expand all items,{locale}.json
*::*.Expand items with data,Expand items with data,,Elemek kibontása adatokkal,Développer les éléments avec des données,*,*,Expand items with data,{locale}.json
*::*.Extra,Extra,,Külön,Supplémentaire,*,*,Extra,{locale}.json
*::*.Extracted data,Extracted data,,Kivont adatok,Données extraites,*,*,Extracted data,{locale}.json
*::*.Failed to change base currency,Failed to change base currency,,Nem sikerült módosítani az alappénznemet,Échec du changement de la devise de base,*,*,Failed to change base currency,{locale}.json
*::*.Failed to delete rate,Failed to delete rate,,Árfolyam törlése sikertelen,Échec de la suppression du taux,*,*,Failed to delete rate,{locale}.json
*::*.Failed to load missing rates,Failed to load missing rates,,Hiányzó árfolyamok betöltése sikertelen,Impossible de charger les taux manquants,*,*,Failed to load missing rates,{locale}.json
*::*.File,File,,Fájl,Déposer,*,*,File,{locale}.json
*::*.Filters,Filters,,Szűrők,Filtres,*,*,Filters,{locale}.json
*::*.Finalize draft transaction,Finalize draft transaction,,Vázlat tranzakció véglegesítése,Finaliser le projet de transaction,*,*,Finalize draft transaction,{locale}.json
*::*.Finalize transaction,Finalize transaction,,Tranzakció véglegesítése,Finaliser la transaction,*,*,Finalize transaction,{locale}.json
*::*.Find transactions,Find transactions,,Tranzakció keresése,Trouver des transactions,*,*,Find transactions,{locale}.json
*::*.First available data,First available data,,Első elérhető adat,Premières données disponibles,*,*,First available data,{locale}.json
*::*.First transaction,First transaction,,Első tranzakció,Première transaction,*,*,First transaction,{locale}.json
*::*.Forgot Your Password?,Forgot Your Password?,,Elfelejtetted a jelszavad?,Mot de passe oublié?,*,*,Forgot Your Password?,{locale}.json
*::*.Frequency,Frequency,,Gyakoriság,Fréquence,*,*,Frequency,{locale}.json
*::*.From,From,,Tól,Depuis,*,*,From,{locale}.json
*::*.Go to account,Go to account,,Ugrás a számlához,Accéder au compte,*,*,Go to account,{locale}.json
*::*.Go to investment,Go to investment,,Menj a befektetéshez,Accédez à la section investissement,*,*,Go to investment,{locale}.json
*::*.Go to transaction,Go to transaction,,Ugrás a tranzakcióhoz,Accéder à la transaction,*,*,Go to transaction,{locale}.json
*::*.Group,Group,,Csoport,Groupe,*,*,Group,{locale}.json
*::*.Guided tour,Guided tour,,Ismertető lépések,Visite guidée,*,*,Guided tour,{locale}.json
*::*.HTML,HTML view,,HTML nézet,vue HTML,*,*,HTML,{locale}.json
*::*.Handled,Handled,,Kezelt,Géré,*,*,Handled,{locale}.json
*::*.Has similar transaction,Has similar transaction,,Hasonló tranzakciót folytat,A une transaction similaire,*,*,Has similar transaction,{locale}.json
*::*.Have at least one account added,Have at least one account added,,Legalább egy számla hozzáadva,Avoir au moins un compte ajouté,*,*,Have at least one account added,{locale}.json
*::*.Have at least one account group added,Have at least one account group added,,Legalább egy számla csoport hozzáadása szükséges,Avoir au moins un groupe de comptes ajouté,*,*,Have at least one account group added,{locale}.json
*::*.Have at least one currency added,Have at least one currency added,,Legalább egy pénznemet hozzá kell adni,Ajoutez au moins une devise,*,*,Have at least one currency added,{locale}.json
*::*.Have some categories added,Have some categories added,,Hozzáadtam néhány kategóriát,J'ai ajouté quelques catégories.,*,*,Have some categories added,{locale}.json
*::*.Have some payees added,Have some payees added,,Hozzáadtak néhány kedvezményezettet,Ajouter des bénéficiaires,*,*,Have some payees added,{locale}.json
*::*.Have your base currency set,Have your base currency set,,Beállított alappénznemet,Définissez votre devise de base,*,*,Have your base currency set,{locale}.json
*::*.Hide,Hide,,Elrejt,Cacher,*,*,Hide,{locale}.json
"*::*.Hide this recommendation, but it might be displayed later","Hide this recommendation, but it might be displayed later","Rejtse el ezt az ajánlást, de később megjelenhet","Masquer cette recommandation, mais elle pourrait s'afficher ultérieurement.",*,*,"Hide this recommendation, but it might be displayed later",{locale}.json
*::*.Home,Home,,Kezdő oldal,Accueil,*,*,Home,{locale}.json
*::*.How long would you like YAFFA to calculate forecasts.,How long would you like YAFFA to calculate forecasts.,,A dátum ameddig a YAFFA kiszámítsa az előrejelzéseket.,Combien de temps souhaitez-vous que YAFFA consacre aux prévisions?,*,*,How long would you like YAFFA to calculate forecasts.,{locale}.json
*::*.Hungarian,Hungarian,,Magyar,Hongrois,*,*,Hungarian,{locale}.json
"*::*.I accept the <a href="":toslink"" target=""_blank"">terms of service</a>","I accept the <a href="":toslink"" target=""_blank"">terms of service</a>","Elfogadom a szolgáltatás <a href="":toslink"" target=""_blank"">használati feltételeit</a>","J'accepte les <a href="":toslink"" target=""_blank"">conditions d'utilisation</a>",*,*,"I accept the <a href="":toslink"" target=""_blank"">terms of service</a>",{locale}.json
*::*.ISIN number,ISIN number,,ISIN szám,Numéro ISIN,*,*,ISIN number,{locale}.json
*::*.ISO Code,ISO Code,,ISO kód,Code ISO,*,*,ISO Code,{locale}.json
*::*.Id,Id,,Id,Identifiant,*,*,Id,{locale}.json
*::*.Identified transactions,Identified transactions,,Azonosított tranzakciók,Transactions identifiées,*,*,Identified transactions,{locale}.json
"*::*.If next date is empty, then this schedule is considered to be finished","If next date is empty, then this schedule is considered to be finished","Ha a következő dátum üres, akkor az ütemterv befejezettnek tekintendő.","Si la prochaine date est vide, ce planning est considéré comme terminé.",*,*,"If next date is empty, then this schedule is considered to be finished",{locale}.json
*::*.If you did not receive the email,If you did not receive the email,,Ha nem kaptad meg az e-mailt,Si vous n'avez pas reçu l'e-mail,*,*,If you did not receive the email,{locale}.json
*::*.Import CSV,Import CSV,,CSV importálása,Importer un fichier CSV,*,*,Import CSV,{locale}.json
*::*.Import alias,Import alias,,Alias ​​importálása,Alias ​​d'importation,*,*,Import alias,{locale}.json
*::*.Import transactions,Import transactions,,Tranzakciók importálása,Transactions d'importation,*,*,Import transactions,{locale}.json
*::*.Inactive,Inactive,,Inaktív,Inactif,*,*,Inactive,{locale}.json
*::*.Interest yield,Interest yield,,Hozam,rendement des intérêts,*,*,Interest yield,{locale}.json
*::*.Interval,Interval,,Intervallum,Intervalle,*,*,Interval,{locale}.json
*::*.Investment,Investment,,Befektetés,Investissement,*,*,Investment,{locale}.json
*::*.Investment Groups,Investment Groups,,Befektetés Csoportok,Groupes d'investissement,*,*,Investment Groups,{locale}.json
*::*.Investment added,Investment added,,Befektetés létrehozva,Investissement ajouté,*,*,Investment added,{locale}.json
*::*.Investment deleted,Investment deleted,,Befektetés törölve,Investissement supprimé,*,*,Investment deleted,{locale}.json
*::*.Investment details,Investment details,,Befektetési részletek,Détails de l'investissement,*,*,Investment details,{locale}.json
*::*.Investment group,Investment group,,Befektetési csoport,Groupe d'investissement,*,*,Investment group,{locale}.json
*::*.Investment group added,Investment group added,,Befektetési csoport hozzáadva,Le groupe d'investissement a ajouté,*,*,Investment group added,{locale}.json
*::*.Investment group deleted,Investment group deleted,,Befektetési csoport törölve,Groupe d'investissement supprimé,*,*,Investment group deleted,{locale}.json
"*::*.Investment group is in use, cannot be deleted","Investment group is in use, cannot be deleted","A befektetési csoport használatban van, nem törölhető",Le groupe d'investissement est utilisé et ne peut pas être supprimé.,*,*,"Investment group is in use, cannot be deleted",{locale}.json
*::*.Investment group updated,Investment group updated,,Befektetési csoport frissítve,Le groupe d'investissement a mis à jour,*,*,Investment group updated,{locale}.json
*::*.Investment groups,Investment groups,,Befektetés csoportok,Groupes d'investissement,*,*,Investment groups,{locale}.json
*::*.Investment groups serve as an organizational tool to streamline your investment overview.,Investment groups serve as an organizational tool to streamline your investment overview.,,A befektetési csoportok szervezeti eszközként szolgálnak a befektetési áttekintés egyszerűsítésére.,Les groupes d'investissement servent d'outil d'organisation pour simplifier votre vue d'ensemble de vos investissements.,*,*,Investment groups serve as an organizational tool to streamline your investment overview.,{locale}.json
*::*.Investment income,Investment income,,Befektetési jövedelem,Revenus de placement,*,*,Investment income,{locale}.json
"*::*.Investment is in use, cannot be deleted","Investment is in use, cannot be deleted","A befektetés használatban van, nem törölhető",L'investissement est en cours et ne peut être supprimé.,*,*,"Investment is in use, cannot be deleted",{locale}.json
*::*.Investment payment,Investment payment,,Befektetési kifizetés,Paiement d'investissement,*,*,Investment payment,{locale}.json
*::*.Investment price,Investment price,,Befektetés árfolyam,Prix d'investissement,*,*,Investment price,{locale}.json
*::*.Investment price added,Investment price added,,Befektetés árfolyam rögzítve,Prix d'investissement ajouté,*,*,Investment price added,{locale}.json
*::*.Investment price deleted,Investment price deleted,,Befektetés árfolyam törölve,Prix de l'investissement supprimé,*,*,Investment price deleted,{locale}.json
*::*.Investment price history,Investment price history,,Befektetés árfolyam történet,Historique des prix d'investissement,*,*,Investment price history,{locale}.json
*::*.Investment price updated,Investment price updated,,Befektetés árfolyam frissítve,Prix de l'investissement mis à jour,*,*,Investment price updated,{locale}.json
*::*.Investment price values,Investment price values,,,*,*,Investment price values,{locale}.json
*::*.Investment prices of :name,Investment prices of :name,,:name árfolyam adatai,Prix d'investissement pour :name,*,*,Investment prices of :name,{locale}.json
*::*.Investment prices successfully downloaded from :date,Investment prices successfully downloaded from :date,,Befektetési árak sikeresen letöltve innen: :date,Prix des investissements téléchargés avec succès depuis :date,*,*,Investment prices successfully downloaded from :date,{locale}.json
*::*.Investment timeline,Investment timeline,,Befektetési ütemterv,Calendrier d'investissement,*,*,Investment timeline,{locale}.json
*::*.Investment updated,Investment updated,,Befektetési adatok frissítése,Mise à jour des investissements,*,*,Investment updated,{locale}.json
*::*.Investment value,Investment value,,Befektetési érték,valeur d'investissement,*,*,Investment value,{locale}.json
*::*.Investments,Investments,,Befektetések,Investissements,*,*,Investments,{locale}.json
*::*.It has subcategories assigned.,It has subcategories assigned.,,Hozzárendelt alkategóriákkal rendelkezik.,Elle comporte des sous-catégories.,*,*,It has subcategories assigned.,{locale}.json
*::*.It is already used in transactions.,It is already used in transactions.,,Már használják tranzakciókban.,Il est déjà utilisé dans les transactions.,*,*,It is already used in transactions.,{locale}.json
*::*.It is used as default category by some payees.,It is used as default category by some payees.,,Néhány kedvezményezett alapértelmezett kategóriaként használja.,Elle est utilisée comme catégorie par défaut par certains bénéficiaires.,*,*,It is used as default category by some payees.,{locale}.json
*::*.It is used as not preferred category by some payees.,It is used as not preferred category by some payees.,,Egyes kedvezményezettek nem preferált kategóriaként használják.,Certains bénéficiaires l'utilisent comme catégorie non privilégiée.,*,*,It is used as not preferred category by some payees.,{locale}.json
*::*.It is used as preferred category by some payees.,It is used as preferred category by some payees.,,Egyes kedvezményezettek előnyben részesített kategóriájaként használják.,Elle est utilisée comme catégorie privilégiée par certains bénéficiaires.,*,*,It is used as preferred category by some payees.,{locale}.json
*::*.Language,Language,,Nyelv,Langue,*,*,Language,{locale}.json
*::*.Language selectors,Language selectors,,Nyelvválasztók,sélecteurs de langue,*,*,Language selectors,{locale}.json
*::*.Last available data,Last available data,,Utolsó elérhető adat,Dernières données disponibles,*,*,Last available data,{locale}.json
*::*.Last known rate,Last known rate,,Utolsó ismert árfolyam,dernier taux connu,*,*,Last known rate,{locale}.json
*::*.Last quantity,Last quantity,,Utolsó mennyiség,Dernière quantité,*,*,Last quantity,{locale}.json
*::*.Last transaction,Last transaction,,Utolsó tranzakció,Dernière transaction,*,*,Last transaction,{locale}.json
*::*.Latest owned value,Latest owned value,,Legutóbbi saját érték,dernière valeur détenue,*,*,Latest owned value,{locale}.json
*::*.Latest price,Latest price,,Legújabb ár,Prix actuel,*,*,Latest price,{locale}.json
*::*.Latest rate from base currency,Latest rate from base currency,,Legutóbbi árfolyam az alapdevizától,Dernier taux de change par rapport à la devise de base,*,*,Latest rate from base currency,{locale}.json
*::*.Latest rate to base currency,Latest rate to base currency,,Legutóbbi árfolyam az alapdevizához viszonyítva,Dernier taux de change par rapport à la devise de base,*,*,Latest rate to base currency,{locale}.json
*::*.Learn more,Learn more,,Tudj meg többet!,Apprendre encore plus,*,*,Learn more,{locale}.json
*::*.Linked transaction,Linked transaction,,Kapcsolt tranzakció,Transaction liée,*,*,Linked transaction,{locale}.json
*::*.List and manage investment prices,List and manage investment prices,,Befektetés árfolyamok listázása és kezelése,Lister et gérer les prix des investissements,*,*,List and manage investment prices,{locale}.json
*::*.List of currencies,List of currencies,,Valuták listája,Liste des devises,*,*,List of currencies,{locale}.json
*::*.List of investments,List of investments,,Befektetések listája,Liste des investissements,*,*,List of investments,{locale}.json
*::*.Load account transaction history,Load account transaction history,,Számla tranzakciós előzményeinek betöltése,Historique des transactions du compte,*,*,Load account transaction history,{locale}.json
*::*.Load data,Load data,,Adatok betöltése,Charger les données,*,*,Load data,{locale}.json
*::*.Load missing investment prices,Load missing investment prices,,,*,*,Load missing investment prices,{locale}.json
*::*.Load missing rates,Load missing rates,,Hiányzó árfolyamok betöltése,Charger les taux manquants,*,*,Load missing rates,{locale}.json
*::*.Load new currency rates,Load new currency rates,,Új valutaárfolyamok betöltése,Charger les nouveaux taux de change,*,*,Load new currency rates,{locale}.json
*::*.Load new price data,Load new price data,,Új áradatok betöltése,Charger les nouvelles données de prix,*,*,Load new price data,{locale}.json
*::*.Loading missing rates...,Loading missing rates...,,Hiányzó árfolyamok betöltése...,Chargement des taux manquants...,*,*,Loading missing rates...,{locale}.json
*::*.Locale,Locale,,Nyelvi beállítás,Lieu,*,*,Locale,{locale}.json
*::*.Login,Login,,Bejelentkezés,Se connecter,*,*,Login,{locale}.json
*::*.Logout,Logout,,Kilépés,Déconnexion,*,*,Logout,{locale}.json
*::*.Make this the end date,Make this the end date,,Legyen ez a befejező dátum,Faites de cette date la date de fin,*,*,Make this the end date,{locale}.json
*::*.Make this the start date,Make this the start date,,Legyen ez a kezdő dátum,Définissez cette date comme date de début,*,*,Make this the start date,{locale}.json
*::*.Mark as handled,Mark as handled,,Megjelölés kezeltként,Marquer comme traité,*,*,Mark as handled,{locale}.json
*::*.Maybe later,Maybe later,,Talán máskor,Peut-être plus tard,*,*,Maybe later,{locale}.json
*::*.Merge categories,Merge categories,,Kategóriák egyesítése,Fusionner les catégories,*,*,Merge categories,{locale}.json
*::*.Merge into an other category,Merge into an other category,,Egy másik kategóriába való beillesztés,Fusionner avec une autre catégorie,*,*,Merge into an other category,{locale}.json
*::*.Merge into an other payee,Merge into an other payee,,Egy másik kedvezményezettel való egyesülés,Fusionner avec un autre bénéficiaire,*,*,Merge into an other payee,{locale}.json
*::*.Merge payees,Merge payees,,Kedvezményezettek egyesítése,Fusionner les bénéficiaires,*,*,Merge payees,{locale}.json
*::*.Missing rates loaded successfully,Missing rates loaded successfully,,Hiányzó árfolyamok sikeresen betöltve,Taux manquants chargés avec succès,*,*,Missing rates loaded successfully,{locale}.json
*::*.Modify account,Modify account,,Számla módosítása,Modifier le compte,*,*,Modify account,{locale}.json
*::*.Modify account group,Modify account group,,Számla csoport módosítása,Modifier le groupe de comptes,*,*,Modify account group,{locale}.json
*::*.Modify category,Modify category,,Kategória módosítása,Modifier la catégorie,*,*,Modify category,{locale}.json
*::*.Modify currency,Modify currency,,Pénznem módosítása,Modifier la devise,*,*,Modify currency,{locale}.json
*::*.Modify existing transaction,Modify existing transaction,,Tranzakció módosítása,Modifier une transaction existante,*,*,Modify existing transaction,{locale}.json
*::*.Modify investment,Modify investment,,Befektetés módosítása,Modifier l'investissement,*,*,Modify investment,{locale}.json
*::*.Modify investment group,Modify investment group,,Befektetési csoport módosítása,Modifier le groupe d'investissement,*,*,Modify investment group,{locale}.json
*::*.Modify investment price,Modify investment price,,Befektetési ár módosítása,Modifier le prix de l'investissement,*,*,Modify investment price,{locale}.json
*::*.Modify payee,Modify payee,,Kedvezményezett módosítása,Modifier le bénéficiaire,*,*,Modify payee,{locale}.json
*::*.Modify tag,Modify tag,,Címke módosítása,Modifier l'étiquette,*,*,Modify tag,{locale}.json
*::*.Monthly,Monthly,,Havonta,Mensuel,*,*,Monthly,{locale}.json
*::*.Monthly balance change,Monthly balance change,,Havi egyenlegváltozás,Changement de solde mensuel,*,*,Monthly balance change,{locale}.json
*::*.Monthly change,Monthly change,,Havi változás,Changement mensuel,*,*,Monthly change,{locale}.json
*::*.Monthly overview for top-level categories,Monthly overview for top-level categories,,Havi áttekintés a legfelső szintű kategóriákról,Aperçu mensuel des principales catégories,*,*,Monthly overview for top-level categories,{locale}.json
*::*.Moving average,Moving average,,Mozgóátlag,moyenne mobile,*,*,Moving average,{locale}.json
*::*.My profile,My profile,,Profilom,Mon profil,*,*,My profile,{locale}.json
*::*.Name,Name,,Név,Nom,*,*,Name,{locale}.json
*::*.Never show this widget,Never show this widget,,Ablak végleges elrejtése,Ne jamais afficher ce widget,*,*,Never show this widget,{locale}.json
*::*.Never used,Never used,,Soha nem használt,Jamais utilisé,*,*,Never used,{locale}.json
*::*.New Password,New Password,,Új Jelszó,Nouveau mot de passe,*,*,New Password,{locale}.json
*::*.New account,New account,,Új számla,Nouveau compte,*,*,New account,{locale}.json
*::*.New account group,New account group,,Új számla csoport,Nouveau groupe de comptes,*,*,New account group,{locale}.json
*::*.New assets,New assets,,Új eszközök,Nouveaux actifs,*,*,New assets,{locale}.json
*::*.New category,New category,,Új kategória,Nouvelle catégorie,*,*,New category,{locale}.json
*::*.New currency,New currency,,Új pénznem,Nouvelle monnaie,*,*,New currency,{locale}.json
*::*.New deposit,New deposit,,Új bevétel,Nouveau dépôt,*,*,New deposit,{locale}.json
*::*.New investment,New investment,,Új befektetés,Nouvel investissement,*,*,New investment,{locale}.json
*::*.New investment group,New investment group,,Új befektetés csoport,Nouveau groupe d'investissement,*,*,New investment group,{locale}.json
*::*.New investment transaction,New investment transaction,,Új befektetési tranzakció,Nouvelle transaction d'investissement,*,*,New investment transaction,{locale}.json
*::*.New payee,New payee,,Új üzlet,Nouveau bénéficiaire,*,*,New payee,{locale}.json
*::*.New scheduled investment transaction,New scheduled investment transaction,,Új ütemezett befektetési tranzakció,Nouvelle transaction d'investissement programmée,*,*,New scheduled investment transaction,{locale}.json
*::*.New scheduled transaction,New scheduled transaction,,Új ütemezett tranzakció,Nouvelle transaction programmée,*,*,New scheduled transaction,{locale}.json
"*::*.New scheduled, investment transaction","New scheduled, investment transaction","Új, ütemezett befektetési tranzakció",Nouvelle opération d'investissement programmée,*,*,"New scheduled, investment transaction",{locale}.json
"*::*.New scheduled, standard transaction","New scheduled, standard transaction","Új ütemezett, standard tranzakció",Nouvelle transaction standard programmée,*,*,"New scheduled, standard transaction",{locale}.json
*::*.New standard transaction,New standard transaction,,Új normál tranzakció,Nouvelle transaction standard,*,*,New standard transaction,{locale}.json
*::*.New tag,New tag,,Új címke,Nouvelle étiquette,*,*,New tag,{locale}.json
*::*.New transaction,New transaction,,Új tranzakció,Nouvelle tranzakció,*,*,New transaction,{locale}.json
*::*.New transaction item,New transaction item,,Új tétel,Nouvel élément de transaction,*,*,New transaction item,{locale}.json
*::*.New transfer,New transfer,,Új átvezetés,Nouveau transfert,*,*,New transfer,{locale}.json
*::*.New withdrawal,New withdrawal,,Új kiadás,Nouveau retrait,*,*,New withdrawal,{locale}.json
*::*.Next date,Next date,,Következő dátum,Prochaine date,*,*,Next date,{locale}.json
*::*.Next month,Next month,,Következő hónap,Mois prochain,*,*,Next month,{locale}.json
*::*.No,No,,Nem,Non,*,*,No,{locale}.json
*::*.No account groups found,No account groups found,,Nem található számla csoport,Aucun groupe de comptes trouvé,*,*,No account groups found,{locale}.json
*::*.No accounts found,No accounts found,,Nem található számla,Aucun compte trouvé,*,*,No accounts found,{locale}.json
*::*.No category assigned,No category assigned,,Nincs hozzárendelve kategória,Aucune catégorie attribuée,*,*,No category assigned,{locale}.json
*::*.No currencies found,No currencies found,,Nem találhatók pénznemek,Aucune devise trouvée,*,*,No currencies found,{locale}.json
*::*.No data,No data,,Nincs adat,Aucune donnée,*,*,No data,{locale}.json
*::*.No data available,No data available,,Nincs elérhető adat,Aucune donnée disponible,*,*,No data available,{locale}.json
*::*.No investment groups found,No investment groups found,,Nem található befektetési csoport,Aucun groupe d'investissement trouvé,*,*,No investment groups found,{locale}.json
*::*.No items added,No items added,,Nincsenek tételek hozzáadva,Aucun article ajouté,*,*,No items added,{locale}.json
*::*.No price provider configured for this investment,No price provider configured for this investment,,,*,*,No price provider configured for this investment,{locale}.json
*::*.No transactions,No transactions,,Nincsenek tranzakciók,Aucune transaction,*,*,No transactions,{locale}.json
"*::*.No, thanks","No, thanks","Köszönöm, nem",Non merci,*,*,"No, thanks",{locale}.json
*::*.None,None,,Semmi,Aucun,*,*,None,{locale}.json
*::*.Not allocated,Not allocated,,Nem felosztott,Non attribué,*,*,Not allocated,{locale}.json
*::*.Not available,Not available,,Nem elérhető,Pas disponible,*,*,Not available,{locale}.json
*::*.Not set,Not set,,Nincs megadva,Non défini,*,*,Not set,{locale}.json
*::*.Number of records,Number of records,,Rekordok száma,Nombre d'enregistrements,*,*,Number of records,{locale}.json
"*::*.OK, let's do it!","OK, let's do it!","Rendben, mehet!","OK, allons-y!",*,*,"OK, let's do it!",{locale}.json
*::*.Open,Open,,Nyitott,Ouvrir,*,*,Open,{locale}.json
*::*.Opening balance,Opening balance,,Nyitó egyenleg,Solde d'ouverture,*,*,Opening balance,{locale}.json
*::*.Overview,Overview,,Áttekintés,Aperçu,*,*,Overview,{locale}.json
*::*.Owned quantity,Owned quantity,,Birtokolt mennyiség,quantité possédée,*,*,Owned quantity,{locale}.json
*::*.Parent,Parent,,Szülő,Mère,*,*,Parent,{locale}.json
*::*.Parent category,Parent category,,Szülő kategória,Catégorie parente,*,*,Parent category,{locale}.json
*::*.Parent or children,Parent or children,,Szülő vagy gyerek,Parent ou enfants,*,*,Parent or children,{locale}.json
*::*.Password,Password,,Jelszó,Mot de passe,*,*,Password,{locale}.json
*::*.Password changed successfully.,Password changed successfully.,,A jelszó sikeresen megváltozott.,Mot de passe modifié avec succès.,*,*,Password changed successfully.,{locale}.json
*::*.Payee,Payee,,Üzlet,Bénéficiaire,*,*,Payee,{locale}.json
*::*.Payee added,Payee added,,Üzlet létrehozva,Le bénéficiaire a ajouté,*,*,Payee added,{locale}.json
*::*.Payee deleted,Payee deleted,,Üzlet törölve,Bénéficiaire supprimé,*,*,Payee deleted,{locale}.json
*::*.Payee details,Payee details,,Üzlet részletei,Détails du bénéficiaire,*,*,Payee details,{locale}.json
"*::*.Payee is in use, cannot be deleted","Payee is in use, cannot be deleted","Az üzlet nem törölhető, mert használatban van","Le bénéficiaire est utilisé, il ne peut pas être supprimé.",*,*,"Payee is in use, cannot be deleted",{locale}.json
*::*.Payee to be merged,Payee to be merged,,Kedvezményezett összevonása,Bénéficiaire à fusionner,*,*,Payee to be merged,{locale}.json
*::*.Payee updated,Payee updated,,Üzlet módosítva,Mise à jour du bénéficiaire,*,*,Payee updated,{locale}.json
*::*.Payees,Payees,,Üzletek,Bénéficiaires,*,*,Payees,{locale}.json
*::*.Payees merged,Payees merged,,Kedvezményezettek egyesültek,Bénéficiaires fusionnés,*,*,Payees merged,{locale}.json
*::*.Please confirm your password before continuing.,Please confirm your password before continuing.,,"Kérjük, erősítse meg jelszavát a folytatás előtt.",Veuillez confirmer votre mot de passe avant de continuer.,*,*,Please confirm your password before continuing.,{locale}.json
*::*.Please select an action,Please select an action,,"Kérjük, válasszon egy műveletet",Veuillez sélectionner une action,*,*,Please select an action,{locale}.json
*::*.Please select categories to be merged,Please select categories to be merged,,"Kérjük, válassza ki az egyesítendő kategóriákat",Veuillez sélectionner les catégories à fusionner.,*,*,Please select categories to be merged,{locale}.json
*::*.Please select different categories to be merged,Please select different categories to be merged,,"Kérjük, válasszon ki különböző kategóriákat az egyesítéshez",Veuillez sélectionner les différentes catégories à fusionner.,*,*,Please select different categories to be merged,{locale}.json
*::*.Please select different payees to be merged,Please select different payees to be merged,,"Kérjük, válasszon ki különböző kedvezményezetteket az összevonáshoz",Veuillez sélectionner les différents bénéficiaires à fusionner.,*,*,Please select different payees to be merged,{locale}.json
*::*.Please select payees to be merged,Please select payees to be merged,,"Kérjük, válassza ki az egyesítendő kedvezményezetteket",Veuillez sélectionner les bénéficiaires à fusionner.,*,*,Please select payees to be merged,{locale}.json
*::*.Preferred categories for payee,Preferred categories for payee,,Kedvezményezett által előnyben részesített kategóriák,Catégories privilégiées pour le bénéficiaire,*,*,Preferred categories for payee,{locale}.json
*::*.Previous month,Previous month,,Előző hónap,Le mois précédent,*,*,Previous month,{locale}.json
*::*.Previous month to date,Previous month to date,,Előző hónap a mai napig,Le mois précédent à ce jour,*,*,Previous month to date,{locale}.json
*::*.Price,Price,,Ár,Prix,*,*,Price,{locale}.json
*::*.Price provider,Price provider,,Adatszolgáltató,Fournisseur de prix,*,*,Price provider,{locale}.json
*::*.Process email again,Process email again,,E-mail újbóli feldolgozása,Traiter à nouveau l'e-mail,*,*,Process email again,{locale}.json
*::*.Processed,Processed,,Feldolgozott,Traité,*,*,Processed,{locale}.json
*::*.Properties,Properties,,Tulajdonságok,Propriétés,*,*,Properties,{locale}.json
*::*.Quantity,Quantity,,Mennyiség,Quantité,*,*,Quantity,{locale}.json
*::*.Quantity history,Quantity history,,Mennyiségi előzmények,Historique des quantités,*,*,Quantity history,{locale}.json
*::*.Quick actions,Quick actions,,Gyors műveletek,Actions rapides,*,*,Quick actions,{locale}.json
*::*.Quick create,Quick create,,Gyors létrehozás,Création rapide,*,*,Quick create,{locale}.json
*::*.Quick view,Quick view,,Gyorsnézet,Aperçu rapide,*,*,Quick view,{locale}.json
*::*.ROI,ROI,,Megtérülés,retour sur investissement,*,*,ROI,{locale}.json
*::*.Rate,Rate,,Árfolyam,Taux,*,*,Rate,{locale}.json
*::*.Rates,Rates,,Árak,Tarifs,*,*,Rates,{locale}.json
*::*.Recalculate monthly cached data,Recalculate monthly cached data,,Havi gyorsítótárazott adatok újraszámítása,Recalculer les données mensuelles mises en cache,*,*,Recalculate monthly cached data,{locale}.json
*::*.Received at,Received at,,Érkezés dátuma:,Reçu à,*,*,Received at,{locale}.json
*::*.Received email,Received email,,Beérkezett e-mail,Courriel reçu,*,*,Received email,{locale}.json
*::*.Received emails,Received emails,,Beérkezett e-mailek,Courriels reçus,*,*,Received emails,{locale}.json
*::*.Reconciled,Reconciled,,Ellenőrzött,Réconciliés,*,*,Reconciled,{locale}.json
*::*.Register,Register,,Regisztráció,S'inscrire,*,*,Register,{locale}.json
*::*.Register a new account,Register a new account,,Új fiók regisztrációja,Créer un nouveau compte,*,*,Register a new account,{locale}.json
*::*.Reload,Reload,,Újratöltés,Recharger,*,*,Reload,{locale}.json
